Designator,Mid X,Mid Y,Rotation,Layer
C1,135.0,-117.0,0.0,bottom
C10,118.5,-104.0,0.0,bottom
C11,151.0,-104.0,0.0,bottom
C12,172.0,-104.0,0.0,bottom
C13,101.0,-117.0,0.0,bottom
C14,107.5,-104.0,0.0,bottom
C15,177.0,-117.0,0.0,bottom
C16,129.5,-104.0,0.0,bottom
C17,187.5,-117.0,0.0,bottom
C18,89.0,-50.25,180.0,bottom
C19,104.25,-50.25,180.0,bottom
C2,146.0,-117.0,0.0,bottom
C20,119.5,-50.25,180.0,bottom
C21,134.75,-50.25,180.0,bottom
C22,150.0,-50.25,180.0,bottom
C23,183.134,-36.449,270.0,bottom
C3,166.5,-117.0,0.0,bottom
C4,161.0,-104.0,0.0,bottom
C5,124.0,-117.0,0.0,bottom
C6,156.0,-117.0,0.0,bottom
C7,140.5,-104.0,0.0,bottom
C8,182.0,-104.0,0.0,bottom
C9,113.0,-117.0,0.0,bottom
CN1,142.73,-128.24,270.0,top
CN2,131.67,-39.12,270.0,top
CN3,131.77,-61.12,270.0,top
D1,76.25,-72.75,90.0,bottom
D10,98.75,-72.7,90.0,bottom
D100,160.25,-83.25,90.0,bottom
D101,157.75,-83.25,90.0,bottom
D102,188.25,-83.25,90.0,bottom
D103,83.75,-93.7125,90.0,bottom
D104,81.25,-93.7125,90.0,bottom
D105,78.75,-93.7125,90.0,bottom
D106,76.25,-93.75,90.0,bottom
D11,101.25,-72.7,90.0,bottom
D12,103.75,-72.709,90.0,bottom
D13,106.25,-72.709,90.0,bottom
D14,108.75,-72.709,90.0,bottom
D15,111.25,-72.709,90.0,bottom
D16,113.75,-72.75,90.0,bottom
D17,116.25,-72.75,90.0,bottom
D18,118.75,-72.75,90.0,bottom
D19,121.25,-72.75,90.0,bottom
D2,78.75,-72.709,90.0,bottom
D20,123.75,-72.75,90.0,bottom
D21,126.25,-72.75,90.0,bottom
D22,128.75,-72.75,90.0,bottom
D23,131.25,-72.75,90.0,bottom
D24,133.75,-72.75,90.0,bottom
D25,136.25,-72.75,90.0,bottom
D26,138.75,-72.75,90.0,bottom
D27,141.25,-72.75,90.0,bottom
D28,143.75,-72.75,90.0,bottom
D29,146.25,-72.75,90.0,bottom
D3,81.25,-72.75,90.0,bottom
D30,148.75,-72.75,90.0,bottom
D31,151.25,-72.75,90.0,bottom
D32,153.75,-72.75,90.0,bottom
D33,76.25,-83.25,90.0,bottom
D34,78.75,-83.25,90.0,bottom
D35,81.25,-83.25,90.0,bottom
D36,83.75,-83.25,90.0,bottom
D37,86.25,-83.25,90.0,bottom
D38,88.75,-83.25,90.0,bottom
D39,91.25,-83.25,90.0,bottom
D4,83.75,-72.75,90.0,bottom
D40,93.75,-83.25,90.0,bottom
D41,96.25,-83.25,90.0,bottom
D42,98.75,-83.25,90.0,bottom
D43,101.25,-83.25,90.0,bottom
D44,103.75,-83.25,90.0,bottom
D45,106.25,-83.25,90.0,bottom
D46,108.65,-83.25,90.0,bottom
D47,111.25,-83.25,90.0,bottom
D48,113.75,-83.25,90.0,bottom
D49,116.25,-83.25,90.0,bottom
D5,86.25,-72.75,90.0,bottom
D50,118.75,-83.25,90.0,bottom
D51,121.25,-83.25,90.0,bottom
D52,123.75,-83.25,90.0,bottom
D53,126.25,-83.25,90.0,bottom
D54,128.75,-83.25,90.0,bottom
D55,131.25,-83.25,90.0,bottom
D56,133.75,-83.25,90.0,bottom
D57,136.25,-83.25,90.0,bottom
D58,138.75,-83.25,90.0,bottom
D59,141.25,-83.25,90.0,bottom
D6,88.75,-72.709,90.0,bottom
D60,143.75,-83.25,90.0,bottom
D61,146.25,-83.25,90.0,bottom
D62,148.75,-83.25,90.0,bottom
D63,151.25,-83.25,90.0,bottom
D64,153.75,-83.25,90.0,bottom
D65,183.22,-72.75,90.0,bottom
D66,93.84,-93.75,90.0,bottom
D67,91.34,-93.75,90.0,bottom
D68,88.75,-93.75,90.0,bottom
D69,185.75,-83.25,90.0,bottom
D7,91.25,-72.709,90.0,bottom
D70,183.25,-83.25,90.0,bottom
D71,188.25,-72.75,90.0,bottom
D72,185.75,-72.75,90.0,bottom
D73,197.25,-114.75,90.0,bottom
D74,194.75,-114.75,90.0,bottom
D75,197.25,-104.25,90.0,bottom
D76,194.75,-104.25,90.0,bottom
D77,197.25,-72.75,90.0,bottom
D78,194.75,-72.75,90.0,bottom
D79,197.25,-93.75,90.0,bottom
D8,93.75,-72.709,90.0,bottom
D80,194.75,-93.75,90.0,bottom
D81,179.25,-83.25,90.0,bottom
D82,176.75,-83.25,90.0,bottom
D83,174.25,-83.25,90.0,bottom
D84,171.75,-83.25,90.0,bottom
D85,169.25,-83.25,90.0,bottom
D86,166.75,-83.25,90.0,bottom
D87,192.25,-83.25,90.0,bottom
D88,174.25,-72.75,90.0,bottom
D89,166.75,-72.75,90.0,bottom
D9,96.25,-72.7,90.0,bottom
D90,157.75,-72.75,90.0,bottom
D91,197.25,-83.25,90.0,bottom
D92,194.75,-83.25,90.0,bottom
D93,162.75,-72.75,90.0,bottom
D94,160.25,-72.75,90.0,bottom
D95,169.25,-72.75,90.0,bottom
D96,179.25,-72.75,90.0,bottom
D97,176.75,-72.75,90.0,bottom
D98,171.75,-72.75,90.0,bottom
D99,162.75,-83.25,90.0,bottom
R1,76.25,-75.209,270.0,bottom
R10,98.75,-75.209,270.0,bottom
R100,160.25,-85.75,270.0,bottom
R101,157.75,-85.75,270.0,bottom
R102,188.25,-85.75,270.0,bottom
R103,83.75,-96.2125,90.0,bottom
R104,81.25,-96.2125,90.0,bottom
R105,78.75,-96.2225,90.0,bottom
R106,76.25,-96.2225,90.0,bottom
R11,101.25,-75.209,270.0,bottom
R12,103.75,-75.218,270.0,bottom
R13,106.25,-75.218,270.0,bottom
R14,108.75,-75.218,270.0,bottom
R15,111.25,-75.209,270.0,bottom
R16,113.75,-75.25,270.0,bottom
R17,116.25,-75.25,270.0,bottom
R18,118.75,-75.25,270.0,bottom
R19,121.25,-75.25,270.0,bottom
R2,78.75,-75.168,270.0,bottom
R20,123.75,-75.25,270.0,bottom
R21,126.25,-75.25,270.0,bottom
R22,128.75,-75.25,270.0,bottom
R23,131.25,-75.25,270.0,bottom
R24,133.75,-75.2335,270.0,bottom
R25,136.25,-75.25,270.0,bottom
R26,138.75,-75.2335,270.0,bottom
R27,141.25,-75.2335,270.0,bottom
R28,143.75,-75.2335,270.0,bottom
R29,146.25,-75.25,270.0,bottom
R3,81.25,-75.209,270.0,bottom
R30,148.75,-75.25,270.0,bottom
R31,151.25,-75.25,270.0,bottom
R32,153.75,-75.25,270.0,bottom
R33,197.25,-117.25,270.0,bottom
R34,76.25,-85.75,270.0,bottom
R35,78.75,-85.75,270.0,bottom
R36,81.25,-85.75,270.0,bottom
R37,83.75,-85.75,270.0,bottom
R38,86.25,-85.75,270.0,bottom
R39,88.75,-85.75,270.0,bottom
R4,83.75,-75.209,270.0,bottom
R40,91.25,-85.75,270.0,bottom
R41,93.75,-85.75,270.0,bottom
R42,96.25,-85.75,270.0,bottom
R43,98.75,-85.75,270.0,bottom
R44,101.25,-85.75,270.0,bottom
R45,103.75,-85.75,270.0,bottom
R46,106.25,-85.75,270.0,bottom
R47,108.75,-85.75,270.0,bottom
R48,111.25,-85.75,270.0,bottom
R49,113.75,-85.75,270.0,bottom
R5,86.25,-75.209,270.0,bottom
R50,116.25,-85.75,270.0,bottom
R51,118.75,-85.75,270.0,bottom
R52,121.25,-85.75,270.0,bottom
R53,123.75,-85.75,270.0,bottom
R54,126.25,-85.75,270.0,bottom
R55,128.75,-85.75,270.0,bottom
R56,131.25,-85.75,270.0,bottom
R57,133.75,-85.75,270.0,bottom
R58,136.25,-85.75,270.0,bottom
R59,138.75,-85.75,270.0,bottom
R6,88.75,-75.168,270.0,bottom
R60,141.25,-85.75,270.0,bottom
